
2024/12/05 (00:24:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/05 (00:51:44) | ===> btop++ v.1.4.0
2024/12/05 (00:51:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/05 (01:30:19) | ===> btop++ v.1.4.0
2024/12/05 (01:30:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/05 (01:35:59) | ===> btop++ v.1.4.0
2024/12/05 (01:35:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (14:17:16) | ===> btop++ v.1.4.0
2024/12/06 (14:17:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (21:28:24) | ===> btop++ v.1.4.0
2024/12/06 (21:28:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (21:32:43) | ===> btop++ v.1.4.0
2024/12/06 (21:32:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (21:34:30) | ===> btop++ v.1.4.0
2024/12/06 (21:34:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (21:36:48) | ===> btop++ v.1.4.0
2024/12/06 (21:36:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (21:42:32) | ===> btop++ v.1.4.0
2024/12/06 (21:42:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (21:47:19) | ===> btop++ v.1.4.0
2024/12/06 (21:47:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (21:51:37) | ===> btop++ v.1.4.0
2024/12/06 (21:51:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/12 (17:34:02) | ===> btop++ v.1.4.0
2024/12/12 (17:34:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/12 (17:44:21) | ===> btop++ v.1.4.0
2024/12/12 (17:44:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/15 (23:27:40) | ===> btop++ v.1.4.0
2024/12/15 (23:27:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/15 (23:28:49) | ===> btop++ v.1.4.0
2024/12/15 (23:28:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/20 (21:22:50) | ===> btop++ v.1.4.0
2024/12/20 (21:22:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/21 (15:35:39) | ===> btop++ v.1.4.0
2024/12/21 (15:35:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/21 (15:57:48) | ===> btop++ v.1.4.0
2024/12/21 (15:57:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/21 (16:04:00) | ===> btop++ v.1.4.0
2024/12/21 (16:04:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/21 (16:06:35) | ===> btop++ v.1.4.0
2024/12/21 (16:06:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/21 (17:04:34) | ===> btop++ v.1.4.0
2024/12/21 (17:04:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/21 (19:00:22) | ===> btop++ v.1.4.0
2024/12/21 (19:00:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/21 (19:03:27) | ===> btop++ v.1.4.0
2024/12/21 (19:03:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/21 (19:14:43) | ===> btop++ v.1.4.0
2024/12/21 (19:14:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/21 (19:15:34) | ===> btop++ v.1.4.0
2024/12/21 (19:15:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (00:00:43) | ===> btop++ v.1.4.0
2024/12/22 (00:00:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (00:01:04) | ===> btop++ v.1.4.0
2024/12/22 (00:01:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (01:09:23) | ===> btop++ v.1.4.0
2024/12/22 (01:09:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (01:20:15) | ===> btop++ v.1.4.0
2024/12/22 (01:20:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (01:25:15) | ===> btop++ v.1.4.0
2024/12/22 (01:25:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (01:30:41) | ===> btop++ v.1.4.0
2024/12/22 (01:30:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (02:21:38) | ===> btop++ v.1.4.0
2024/12/22 (02:21:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (02:31:03) | ===> btop++ v.1.4.0
2024/12/22 (02:31:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (02:37:56) | ===> btop++ v.1.4.0
2024/12/22 (02:37:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (03:23:47) | ===> btop++ v.1.4.0
2024/12/22 (03:23:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (03:33:33) | ===> btop++ v.1.4.0
2024/12/22 (03:33:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (03:44:30) | ===> btop++ v.1.4.0
2024/12/22 (03:44:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (03:46:40) | ===> btop++ v.1.4.0
2024/12/22 (03:46:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (15:05:26) | ===> btop++ v.1.4.0
2024/12/22 (15:05:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (20:10:06) | ===> btop++ v.1.4.0
2024/12/22 (20:10:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (20:22:41) | ===> btop++ v.1.4.0
2024/12/22 (20:22:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (20:26:02) | ===> btop++ v.1.4.0
2024/12/22 (20:26:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/22 (21:10:59) | ===> btop++ v.1.4.0
2024/12/22 (21:10:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (16:30:51) | ===> btop++ v.1.4.0
2024/12/24 (16:30:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (17:32:33) | ===> btop++ v.1.4.0
2024/12/24 (17:32:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (17:53:34) | ===> btop++ v.1.4.0
2024/12/24 (17:53:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (18:10:13) | ===> btop++ v.1.4.0
2024/12/24 (18:10:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (18:11:37) | ===> btop++ v.1.4.0
2024/12/24 (18:11:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (18:16:44) | ===> btop++ v.1.4.0
2024/12/24 (18:16:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (18:28:11) | ===> btop++ v.1.4.0
2024/12/24 (18:28:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (18:42:25) | ===> btop++ v.1.4.0
2024/12/24 (18:42:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (19:00:33) | ===> btop++ v.1.4.0
2024/12/24 (19:00:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (19:00:44) | ===> btop++ v.1.4.0
2024/12/24 (19:00:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (19:00:58) | ===> btop++ v.1.4.0
2024/12/24 (19:00:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (19:29:26) | ===> btop++ v.1.4.0
2024/12/24 (19:29:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (19:41:23) | ===> btop++ v.1.4.0
2024/12/24 (19:41:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (21:05:32) | ===> btop++ v.1.4.0
2024/12/24 (21:05:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (21:08:59) | ===> btop++ v.1.4.0
2024/12/24 (21:08:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (21:27:53) | ===> btop++ v.1.4.0
2024/12/24 (21:27:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (22:06:22) | ===> btop++ v.1.4.0
2024/12/24 (22:06:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (01:10:53) | ===> btop++ v.1.4.0
2024/12/25 (01:10:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (01:54:05) | ===> btop++ v.1.4.0
